Reasoner,Ontology,Class,Repetition,Runtime (s),Subsumers Found
elk,pizza,Margherita,1,0.01,7
elk,pizza,Margherita,2,0.01,7
elk,pizza,Margherita,3,0.01,7
elk,food.owl,FOODON_03460238,1,0.10,4
elk,food.owl,FOODON_03460238,2,0.10,4
elk,food.owl,FOODON_03460238,3,0.09,4
elk,skin,Integrin,1,0.02,9
elk,skin,Integrin,2,0.01,9
elk,skin,Integrin,3,0.01,9
elk,clinical.owl,Amyloidosis,1,0.00,10
elk,clinical.owl,Amyloidosis,2,0.01,10
elk,clinical.owl,Amyloidosis,3,0.01,10
elk,donut_store,FilledDonut,1,0.01,4
elk,donut_store,FilledDonut,2,0.01,4
elk,donut_store,FilledDonut,3,0.00,4
hermit,pizza,Margherita,1,0.09,10
hermit,pizza,Margherita,2,0.10,10
hermit,pizza,Margherita,3,0.08,10
hermit,food.owl,FOODON_03460238,1,1.39,4
hermit,food.owl,FOODON_03460238,2,1.21,4
hermit,food.owl,FOODON_03460238,3,1.25,4
hermit,skin,Integrin,1,0.23,9
hermit,skin,Integrin,2,0.22,9
hermit,skin,Integrin,3,0.25,9
hermit,clinical.owl,Amyloidosis,1,0.01,10
hermit,clinical.owl,Amyloidosis,2,0.01,10
hermit,clinical.owl,Amyloidosis,3,0.01,10
hermit,donut_store,FilledDonut,1,0.01,5
hermit,donut_store,FilledDonut,2,0.01,5
hermit,donut_store,FilledDonut,3,0.01,5
custom,pizza,Margherita,1,30.93,7
custom,pizza,Margherita,2,28.76,7
custom,pizza,Margherita,3,29.24,7
custom,food.owl,FOODON_03460238,1,78.47,4
custom,food.owl,FOODON_03460238,2,73.53,4
custom,food.owl,FOODON_03460238,3,78.47,4
custom,skin,Integrin,1,36.26,9
custom,skin,Integrin,2,35.88,9
custom,skin,Integrin,3,35.99,9
custom,clinical.owl,Amyloidosis,1,23.31,9
custom,clinical.owl,Amyloidosis,2,19.77,9
custom,clinical.owl,Amyloidosis,3,22.58,9
custom,donut_store,FilledDonut,1,5.65,4
custom,donut_store,FilledDonut,2,5.76,4
custom,donut_store,FilledDonut,3,6.28,4
